latitude,longitude,altitude
-12.47425,130.99787,46.7
-12.47467,130.99835,46.2
-12.47529,130.99899,43.1
-12.4753,130.99901,43.1
-12.47716,131.00074,34
-12.47729,131.00087,33.1
-12.47849,131.00198,32.1
-12.47862,131.00211,31.8
-12.47901,131.00247,30.7
-12.48089,131.00426,36.1
-12.48139,131.00476,35.3
-12.48176,131.00517,33.5
-12.48232,131.00585,30.6
-12.48252,131.00611,29.6
-12.48266,131.00628,28.7
-12.48279,131.00646,28.2
-12.48293,131.00663,27.9
-12.4832,131.00698,27.1
-12.48334,131.00715,27
-12.48345,131.0073,26.7
-12.48347,131.00732,26.6
-12.48391,131.00782,25.6
-12.48414,131.00806,25.7
-12.48492,131.00879,30.3
-12.48519,131.00901,33
-12.48536,131.00914,34.6
-12.48544,131.00921,35.1
-12.48562,131.00933,35.9
-12.4858,131.00946,36.8
-12.48617,131.0097,37.3
-12.48702,131.01017,37.6
-12.4875,131.0104,38.9
-12.48821,131.01068,41.3
-12.48852,131.01078,41.8
-12.48865,131.01083,42
-12.48905,131.01094,41.9
-12.48999,131.01116,43
-12.49043,131.01124,42.2
-12.49065,131.01129,41.9
-12.49074,131.0113,41.7
-12.49181,131.01151,43.3
-12.49255,131.01167,42.1
-12.49335,131.01188,43.5
-12.49397,131.01209,44.4
-12.49437,131.01225,44.9
-12.49487,131.01247,44.3
-12.49545,131.01276,43.2
-12.49651,131.01337,44.6
-12.49659,131.01341,44.7
-12.4977,131.01402,45.5
-12.49806,131.01425,45.3
-12.49984,131.0153,46.5
-12.50745,131.01966,38.8
-12.50749,131.01969,38.7
-12.50939,131.02078,35.8
-12.51035,131.02137,30.7
-12.51105,131.02189,26.4
-12.51163,131.02239,25.6
-12.51225,131.023,24.5
-12.51254,131.02333,23.8
-12.51289,131.02376,21.8
-12.51331,131.02434,19.5
-12.51353,131.02468,19.6
-12.51401,131.02551,20.1
-12.51432,131.02616,22.1
-12.51439,131.02633,22.6
-12.5145,131.02657,23.1
-12.51453,131.02666,23.4
-12.5146,131.02684,23.8
-12.51471,131.02719,25.2
-12.51484,131.02757,27.2
-12.51507,131.0284,34.1
-12.51508,131.02841,34.1
-12.51529,131.02927,35.8
-12.5155,131.03005,36.9
-12.51586,131.03118,39.2
-12.5161,131.03172,40.4
-12.51639,131.03228,40.4
-12.51697,131.03317,40.3
-12.52185,131.04015,45.4
-12.52233,131.04081,45.8
-12.52347,131.04247,45.3
-12.52366,131.04272,46
-12.52451,131.04392,45.9
-12.52462,131.04409,45.8
-12.52477,131.04429,46.1
-12.52481,131.04436,46.3
-12.52506,131.04471,47.6
-12.52507,131.04472,47.6
-12.52556,131.04543,48.7
-12.52617,131.04625,49.9
-12.52654,131.04669,50.9
-12.52733,131.04756,49.7
-12.52781,131.04805,50.2
-12.52839,131.04862,50.1
-12.53157,131.05128,49.5
-12.53253,131.05205,47.9
-12.53388,131.05317,47.2
-12.53638,131.05516,47.3
-12.53805,131.0566,49.2
-12.5383,131.05683,48.8
-12.53843,131.05696,48.9
-12.53897,131.05745,49.6
-12.54033,131.05872,49.1
-12.54091,131.0592,47.9
-12.54152,131.05966,47.8
-12.54959,131.06539,43.7
-12.55073,131.06622,43
-12.55082,131.06627,43.1
-12.55083,131.06628,43.1
-12.55518,131.06937,42.4
-12.55779,131.07117,42.9
-12.55849,131.07162,42.7
-12.55925,131.07203,42.8
-12.56015,131.07246,42
-12.56162,131.07302,40.5
-12.56271,131.07334,39.8
-12.56332,131.07346,39.6
-12.56382,131.07353,39.4
-12.56386,131.07354,39.4
-12.56441,131.0736,38.6
-12.56522,131.07367,36.9
-12.56531,131.07366,36.8
-12.56548,131.07367,36.6
-12.57265,131.07368,33.7
-12.57294,131.07367,34
-12.5942,131.07363,23.7
-12.59562,131.07365,22.1
-12.60512,131.07361,16.8
-12.60727,131.07364,15.5
-12.6102,131.07364,17.9
-12.61313,131.07355,19.9
-12.6132,131.07354,20
-12.61329,131.07355,20
-12.61501,131.07364,21.1
-12.61526,131.07362,21.1
-12.6159,131.07359,21.5
-12.6163,131.07358,22.8
-12.61696,131.07354,23.7
-12.61703,131.07353,23.7
-12.61728,131.07351,23.4
-12.61779,131.07345,23.8
-12.62144,131.07281,24.8
-12.62219,131.07269,25.3
-12.62245,131.07266,25.4
-12.62247,131.07265,25.3
-12.62283,131.07261,26
-12.62287,131.07261,26
-12.62321,131.07258,26.7
-12.62382,131.07254,27.5
-12.62446,131.07251,27.6
-12.62535,131.07252,26.6
-12.6262,131.07258,26.1
-12.62642,131.07259,26.1
-12.62729,131.0727,28.5
-12.63033,131.0732,32.7
-12.63036,131.0732,32.8
-12.63163,131.07342,35.9
-12.63302,131.07363,36.2
-12.63318,131.07366,36.4
-12.6334,131.07369,36.8
-12.63431,131.07384,37.9
-12.63441,131.07385,37.7
-12.6348,131.07391,36.9
-12.63643,131.07421,36.3
-12.63888,131.0746,35.8
-12.64131,131.07501,36.9
-12.64569,131.07591,34
-12.64572,131.07592,33.9
-12.64734,131.07625,34.7
-12.648,131.07637,35.1
-12.65827,131.07807,45.8
-12.6583,131.07808,45.9
-12.65848,131.0781,46
-12.66094,131.07851,50
-12.66096,131.07852,50
-12.66383,131.07898,50.8
-12.66592,131.07925,51.3
-12.66593,131.07925,51.3
-12.67037,131.07983,51.6
-12.67334,131.08029,51.6
-12.67477,131.08055,52.3
-12.67481,131.08056,52.4
-12.68046,131.08151,57
-12.68081,131.08155,57
-12.68267,131.08186,56.2
-12.68321,131.08197,54.4
-12.68583,131.08269,52.7
-12.68596,131.08273,52.9
-12.69194,131.08436,57.1
-12.6926,131.0845,57.3
-12.69323,131.08461,58
-12.70007,131.08547,60.1
-12.70013,131.08547,60.1
